title,release_year,genres,popularity,vote_average,vote_count,original_title,overview,release_date,original_language
one direction: this is us,2013,"Documentary,Music",15.025,8.3,1040.0,One Direction: This Is Us,"""One Direction: This Is Us"" is a captivating and intimate all-access look at life on the road for the global music phenomenon. Weaved with stunning live concert footage, this inspiring feature film tells the remarkable story of Niall, Zayn, Liam, Harry and Louis' meteoric rise to fame, from their humble hometown beginnings and competing on the X-Factor, to conquering the world and performing at London’s famed O2 Arena. Hear it from the boys themselves and see through their own eyes what it's really like to be One Direction.",2013-08-28,en
the butler,2013,Drama,10.702,7.339,2858.0,The Butler,"A look at the life of Cecil Gaines, who served eight presidents as the White House's head butler from 1952 to 1986, and had a unique front-row seat as political and racial history was made.",2013-08-16,en
"the rich, the pauper and the butler",2014,Comedy,4.676,5.712,845.0,"Il ricco, il povero e il maggiordomo","A wealthy broker, his loyal butler, and a poor street seller all see their social positions change in a twist of fate.",2014-12-11,it
black butler: book of the atlantic,2017,"Animation,Action,Comedy,Fantasy",8.432,7.7,90.0,黒執事 Book of the Atlantic,"Ciel learns of a ""Aurora Society"", that is rumored to be researching how to bring the dead back to life. Their next meeting is scheduled to be conducted on the ship Campania, voyaging across the Atlantic Ocean. Much to Ciel's dismay, Elizabeth ""Lizzy"" Midford, is taking the same ship, thus leaving him with no choice but to get aboard as well.",2017-01-21,ja
bob the butler,2005,Comedy,6.592,5.5,87.0,Bob the Butler,"Bob, an incompetent man, is searching for an available job by alphabetical order. He had just failed all of the A's, and discovers an ad in the Yellow Pages for a butler school. He is the only one in the butler school course to pass, because all of the other people quit due to the embarrassment and pressure of the teacher.",2005-03-10,en
the butler,2018,"Drama,History,Romance",2.029,6.5,25.0,Kamerdyner,"The love between Mateusz Krol, a Kashubian boy, and Marita von Krauss, a Prussian aristocrat in whose family home he is taken in when his mother dies, grows and matures thorough the years, while Kashubia, the northern Polish region where they live, suffers the consequences of the tragedies that will ravage Europe from the beginning of the 20th century until the end of the World War II.",2018-09-21,pl
the baroness and the butler,1938,"Comedy,Drama,Romance",1.983,5.2,13.0,The Baroness and the Butler,A Butler gets elected to the Hungarian parliament where he opposes his master's government.,1938-02-18,en
"hyppolit, the butler",1931,"Comedy,Romance",2.18,7.4,17.0,Hyppolit a lakáj,"Evergreen comedy about a typical parvenu, an ignorant transportation entrepreneur who has suddenly found himself very rich. Despite their humble origins, his wife strives to live a sophisticated lifestyle. When she engages a butler, Hyppolit, their whole life is turned upside down. It has remained one of the most viewed Hungarian comedies of all time: it is shown regularly and is still extremely popular",1931-11-27,hu
hayate the combat butler! heaven is a place on earth,2011,"Animation,Romance",2.982,4.8,4.0,劇場版 ハヤテのごとく! HEAVEN IS A PLACE ON EARTH,"Hayate, Nagi and the gang spend the last days of summer break at Nishizawa's countryside vacation home. But a mysterious spirit has concocted a scheme to separate the butler from his young mistress.",2011-08-27,ja
what the butler saw,1950,Comedy,0.776,5.0,5.0,What the Butler Saw,An Earl returns from a tropical island and discovers the daughter of the tribal King has stowed away in his luggage.,1950-06-01,en
elysium,2013,"Science Fiction,Action,Drama,Thriller",42.202,6.514,8825.0,Elysium,"In the year 2159, two classes of people exist: the very wealthy who live on a pristine man-made space station called Elysium, and the rest, who live on an overpopulated, ruined Earth. Secretary Rhodes, a hard line government ofﬁcial, will stop at nothing to enforce anti-immigration laws and preserve the luxurious lifestyle of the citizens of Elysium. That doesn’t stop the people of Earth from trying to get in, by any means they can. When unlucky Max is backed into a corner, he agrees to take on a daunting mission that, if successful, will not only save his life, but could bring equality to these polarized worlds.",2013-08-07,en
elysium,2003,"Animation,Science Fiction,Action",3.739,4.4,19.0,Elysium,"In the year 2113, the earth is attacked by the inhabitants of Elysium, a planet located at the end of the Galaxy. Four men join in the final battle to save the planet.",2003-02-24,en
elysium hernalsiense,2017,Drama,0.227,0.0,0.0,Elysium Hernalsiense,"A man in a permanent vegetative state is lying at the ‘Hernals Hospital of Eternal Life’ (formerly known as Etablissement Gschwandner, soon to reopen as REAKTOR, Geblergasse, Vienna’s 17th District), reliving in his dreams the events that led to his hospitalisation. His wife certainly had a hand in it. A few years back she disappeared from his life without trace, without explanation. Shortly before he was admitted to hospital she reappeared at his medical practice, accompanied by a child he wished was his own.  In his waking dreams, realities and memories of his hopes and dreams blend with dreams of realities without hopes.",2017-10-19,en
2 guns,2013,"Action,Comedy,Crime",39.118,6.538,4131.0,2 Guns,A DEA agent and an undercover Naval Intelligence officer who have been tasked with investigating one another find they have been set up by the mob -- the very organization the two men believe they have been stealing money from.,2013-08-02,en
father and guns 2,2017,"Crime,Comedy",1.617,6.5,27.0,De père en flic 2,"A few years after they infiltrated a therapy program for fathers and sons, Marc Laroche is having some issues with his girlfriend Alice and Jacques is experiencing intense denial towards the fact that he is growing older.  An incredible opportunity arises when Martin Germain, the lieutenant of the Mafia’s leader, and his girlfriend sign up for a bootcamp for couples. As Marc and Alice sign up for the therapy, Jacques invites himself in by pretending to be the psychologist's assistant.",2017-07-14,fr
men who won't pick up guns 2: breaking a taboo,2021,Documentary,0.441,0.0,0.0,총을 들지 않는 사람들: 금기에 도전,"Ko Eun-young, a thirty, non-naitive Jeju Island woman with no experience in politics, runs for Jeju governor in the 2018 local elections. The bumpy ride Ko and her colleagues undergo during the election campaign moves and changes them.",2021-12-09,ko
gun crazy: episode 2: beyond the law,2002,"Thriller,Action",4.274,6.0,4.0,GUN CRAZY Episode-2「裏切りの挽歌」BEYOND THE LAW,"An idealistic young lawyer whose faith in the law is rocked when she is unable to prevent a rapist from walking free. Her disillusionment of the judicial system is complete when her next case goes disastrously wrong, her corrupt boss is killed by her disappointed gangster clients, and she only narrowly escapes the same fate when a gun-toting stranger bursts into the office and shoots the men dead.",2002-12-31,ja
guns n' roses: 2 classic albums under review: use your illusion i and ii,2007,"Documentary,Music",1.459,7.5,1.0,Guns N' Roses: 2 Classic Albums Under Review: Use Your Illusion I and II,"Chronicling the impact of Guns N' Roses' simultaneous release of ""Use Your Illusion I"" and ""Use Your Illusion II,"" this documentary revisits the media events leading up to the release and the subsequent tour. Never before had the same band held the No. 1 and 2 spots on the Billboard charts. This milestone in rock history is told through backstage footage, interviews from musicians on the albums, and insight from biographers and journalists.",2007-10-30,en
tapout xt - buns and guns 2,2012,unknown,0.044,0.0,0.0,Tapout XT - Buns And Guns 2,"TapouT XT was specifically designed for highly motivated people who are ready for an intense physical and mental challenge. In other words, XT won't be easy - but it was never intended to be. Each workout inspires you dig down deep so you get the extreme B & A results you want. TapouT XT is MMA-Inspired exercise that simultaneously fires the targeted muscles while keeping your heart rate up so you blast calories. This simple 'Science of Sweat' philosophy also cuts your workout time down so you can get in, get it on, and then get it over.",2012-12-01,en
young guns ii,1990,"Western,Adventure",13.65,6.5,534.0,Young Guns II,"Three of the original five ""young guns"" — Billy the Kid, Jose Chavez y Chavez, and Doc Scurlock — return in Young Guns, Part 2, which is the story of Billy the Kid and his race to safety in Old Mexico while being trailed by a group of government agents led by Pat Garrett.",1990-08-01,en
zero tolerance,2015,"Thriller,Action,Crime",4.99,4.7,60.0,Zero Tolerance,"Johnny and Peter, former paramilitary operatives, search Bangkok - leaving carnage in their wake - to find the men who killed Johnny's daughter, Angel.",2015-09-01,en
gunman sent by god,1968,Western,2.13,5.0,2.0,Il pistolero segnato da Dio,"Anthony Steffen, as a young gunman who works as a circus performer, witnesses the killing of some outlaws, carried out by their leader and is credited with the deed. Steffen suffers from a complex which blocks him in front of any violence and makes him appear cowardly, so when a young boy is kidnapped he must find a way to regain his composure.",1968-02-29,it
guns of the magnificent seven,1969,Western,11.064,5.2,94.0,Guns of the Magnificent Seven,"In this third remake of legendary Japanese director Akira Kurosawa's hugely influential The Seven Samurai, the seven gunslingers (George Kennedy, Michael Ansara, Joe Don Baker, Bernie Casey, Monte Markham, Fernando Rey and Reni Santoni) liberate Mexican political prisoners, train them as fighters and assist them in a desperate attack on a Mexican fortress in an attempt to free a revolutionary leader.",1969-07-14,en
gunsmoke: the last apache,1990,"TV Movie,Western",2.955,6.6,9.0,Gunsmoke: The Last Apache,"James Arness rides again as Matt Dillon, the US Marshal he made popular in the 1955-75 TV series. In this movie he goes after a renegade Apache named Wolf (Joe Lara) who has taken his daughter captive. As a bargaining chip, Dillon helps two sons of Apache chief Geronimo out of the fort stockade and offers them in trade. Dillon is aided by an Army scout, Chalk Brighton (Kiley). Written by John Sacksteder",1990-03-17,en
guns n' roses: use your illusion ii - world tour - 1992 in tokyo,1992,Music,1.506,7.7,15.0,Guns N' Roses: Use Your Illusion II - World Tour - 1992 In Tokyo,"Filmed live at Tokyo Dome, Japan, on 22 February 1992, during the Japanese leg of the Use Your Illusion tour.  Originally released in 1992 over two volumes on VHS by Geffen Home Video and later on DVD.",1992-12-08,en
the wolverine,2013,"Action,Science Fiction,Adventure",6.007,6.4,9602.0,The Wolverine,"Wolverine faces his ultimate nemesis - and tests of his physical, emotional, and mortal limits - in a life-changing voyage to modern-day Japan.",2013-07-21,en
marvel studios assembled: the making of deadpool & wolverine,2024,Documentary,13.738,6.5,14.0,Marvel Studios Assembled: The Making of Deadpool & Wolverine,"Hugh Jackman, Ryan Reynolds, and director Shawn Levy sit down and spill the proverbial beans about how ""Deadpool & Wolverine"" was conceived, carried to term, and then birthed.",2024-11-12,en
