movie_title,year,occasion,top_10_gross_in_millions,overall_gross_in_millions,top10_wow_change,overall_wow_change,top10_gross,overall_gross,num_releases,week_no,date
the hunger games: mockingjay - part 2,2015,Thanksgiving 4-Day,199.32,215.72,-,-,199324369,215717632,48,48,Nov 26-29
the hunger games: mockingjay - part 2,2015,Thanksgiving 5-Day,238.08,256.96,-,-,238078648,256957261,48,48,Nov 25-29
the hunger games: mockingjay - part 2,2015,normal weekend,163.26,173.61,+74.4%,+60.7%,163255301,173610096,110,47,Nov 20-22
spectre,2015,normal weekend,93.64,108.05,-37.1%,-33.3%,93635619,108047802,112,46,Nov 13-15
spectre,2015,normal weekend,148.79,161.92,+154.6%,+118.4%,148792362,161918615,112,45,Nov 6-8
the martian,2015,normal weekend,58.43,74.13,-34.9%,-29.9%,58434174,74128462,108,44,Oct 30-Nov 1
the martian,2015,normal weekend,89.8,105.78,-17.5%,-13%,89803867,105775731,110,43,Oct 23-25
goosebumps,2015,normal weekend,108.81,121.58,+1.9%,+2.2%,108805935,121579792,108,42,Oct 16-18
the martian,2015,Indig. Peoples' Day wknd,122.25,133.11,-,-,122246820,133112208,51,41,Oct 9-12
the martian,2015,normal weekend,106.8,118.99,-23.6%,-20.6%,106804689,118992658,112,41,Oct 9-11
the martian,2015,normal weekend,139.83,149.77,+11.3%,+8.7%,139834346,149772643,123,40,Oct 2-4
hotel transylvania 2,2015,normal weekend,125.67,137.82,+30.7%,+22.2%,125667878,137820669,118,39,Sep 25-27
maze runner: the scorch trials,2015,normal weekend,96.14,112.83,+17.8%,+10.1%,96138932,112827167,114,38,Sep 18-20
the perfect guy,2015,normal weekend,81.62,102.51,+36%,+13.2%,81621359,102512365,110,37,Sep 11-13
war room,2015,Labor Day wknd,78.11,116.91,-,-,78105044,116912740,85,36,Sep 4-7
war room,2015,normal weekend,60.03,90.56,-5%,+3.1%,60032495,90555329,95,36,Sep 4-6
straight outta compton,2015,normal weekend,63.16,87.84,-26%,-17.6%,63160916,87836416,96,35,Aug 28-30
straight outta compton,2015,normal weekend,85.36,106.63,-34.2%,-28%,85356247,106631353,94,34,Aug 21-23
straight outta compton,2015,normal weekend,129.7,148.11,+14.5%,+12.3%,129704209,148106885,98,33,Aug 14-16
mission: impossible - rogue nation,2015,normal weekend,113.25,131.92,-16.8%,-9.8%,113252833,131916514,94,32,Aug 7-9
mission: impossible - rogue nation,2015,normal weekend,136.17,146.28,-1.5%,-3.1%,136167805,146282363,95,31,Jul 31-Aug 2
ant-man,2015,normal weekend,138.25,151.04,-22.5%,-22.1%,138254037,151040028,100,30,Jul 24-26
ant-man,2015,normal weekend,178.49,193.93,-12%,-9.8%,178494977,193925542,100,29,Jul 17-19
minions,2015,normal weekend,202.94,215.08,+59.8%,+58.9%,202943834,215076951,103,28,Jul 10-12
inside out,2015,normal weekend,127.0,135.33,-27%,-26.5%,127004488,135328419,88,27,Jul 3-5
jurassic world,2015,normal weekend,174.07,184.09,-27.1%,-25.8%,174073731,184089868,101,26,Jun 26-28
jurassic world,2015,normal weekend,238.74,248.04,-10.3%,-9.4%,238740396,248039944,90,25,Jun 19-21
jurassic world,2015,normal weekend,266.04,273.79,+116.7%,+106.2%,266035144,273785662,88,24,Jun 12-14
spy,2015,normal weekend,122.79,132.77,-6.4%,-4.1%,122790825,132771309,89,23,Jun 5-7
san andreas,2015,normal weekend,131.14,138.47,-9.3%,-10.1%,131136807,138472506,83,22,May 29-31
tomorrowland,2015,normal weekend,144.62,154.08,-17.6%,-16.5%,144619728,154080020,92,21,May 22-24
tomorrowland,2015,Memorial Day wknd,182.89,194.72,-,-,182887788,194717763,81,21,May 22-25
pitch perfect 2,2015,normal weekend,175.54,184.55,+46.7%,+40.5%,175540242,184554442,93,20,May 15-17
avengers: age of ultron,2015,normal weekend,119.64,131.35,-46.6%,-43.6%,119640318,131347747,97,19,May 8-10
avengers: age of ultron,2015,Mayweather/Pacquiao Fight,223.97,232.87,+179.5%,+139.1%,223967813,232873431,102,18,May 1-3
furious 7,2015,normal weekend,80.15,97.39,-26.2%,-18.7%,80145066,97392898,117,17,Apr 24-26
furious 7,2015,normal weekend,108.63,119.72,-12%,-9%,108634824,119720998,111,16,Apr 17-19
furious 7,2015,normal weekend,123.49,131.5,-43%,-41.4%,123487605,131496504,103,15,Apr 10-12
furious 7,2015,Easter wknd,240.86,247.14,-,-,240859409,247143426,45,14,Apr 3-6
furious 7,2015,normal weekend,216.67,224.37,+54.9%,+49.3%,216669859,224366628,96,14,Apr 3-5
home,2015,normal weekend,139.91,150.32,+19.2%,+14.8%,139905374,150316547,98,13,Mar 27-29
the divergent series: insurgent,2015,normal weekend,117.32,130.96,+1.5%,-0.5%,117323618,130961022,97,12,Mar 20-22
cinderella,2015,normal weekend,115.58,131.68,+60%,+47.3%,115580190,131677520,94,11,Mar 13-15
chappie,2015,normal weekend,72.25,89.42,-19.2%,-16.3%,72251925,89415791,94,10,Mar 6-8
focus,2015,normal weekend,89.38,106.79,-13.9%,-10.1%,89378196,106785872,98,9,Feb 27-Mar 1
fifty shades of grey,2015,normal weekend,103.8,118.84,-47.1%,-44.5%,103802091,118837843,90,8,Feb 20-22
fifty shades of grey,2015,normal weekend,196.19,213.96,+47.8%,+40.7%,196187392,213956193,88,7,Feb 13-15
fifty shades of grey,2015,Presidents' Day wknd,226.11,247.21,-,-,226114046,247208470,75,7,Feb 13-16
the spongebob movie: sponge out of water,2015,normal weekend,132.75,152.02,+65.8%,+48.6%,132753774,152017118,95,6,Feb 6-8
american sniper,2015,normal weekend,80.09,102.29,-41.3%,-35.9%,80089127,102289935,95,5,Jan 30-Feb 1
american sniper,2015,normal weekend,136.48,159.47,-23.7%,-21.5%,136480820,159469503,93,4,Jan 23-25
american sniper,2015,MLK wknd,220.66,250.81,-,-,220660699,250809036,71,3,Jan 16-19
american sniper,2015,normal weekend,178.96,203.24,+70.9%,+60.9%,178963570,203241390,87,3,Jan 16-18
taken 3,2015,normal weekend,104.71,126.28,-16.8%,-18.6%,104708370,126281851,87,2,Jan 9-11
the hobbit: the battle of the five armies,2015,normal weekend,125.85,155.08,-29.5%,-26%,125851864,155083722,89,1,Jan 2-4
rogue one: a star wars story,2016,New Year's long wknd,220.4,246.77,-,-,220396876,246770071,68,53,"Dec 30-Jan 2, 2017"
rogue one: a star wars story,2016,normal weekend,166.38,186.66,+0.8%,+2.9%,166381697,186656052,81,53,"Dec 30-Jan 1, 2017"
rogue one: a star wars story,2016,Christmas long wknd,250.61,274.76,-,-,250611546,274763402,67,52,Dec 23-26
rogue one: a star wars story,2016,normal weekend,165.02,181.35,-18.9%,-14.3%,165020197,181350322,82,52,Dec 23-25
rogue one: a star wars story,2016,normal weekend,203.49,211.58,+184.3%,+152.7%,203485726,211583035,99,51,Dec 16-18
moana,2016,normal weekend,71.57,83.72,-14.5%,-12.6%,71566771,83717240,114,50,Dec 9-11
