rank,title,year,release_date,genre,prod_cost_range_million,worldwide_gross_range_million,domestic_gross_range_million,production_cost,domestic_gross,worldwide_gross,opening_weekend,theaters,runtime
53,toy story 4,2019,2019-06-20,Adventure,196-201,1063-1073,430-435,200000000,434038008,1073080329,120908065.0,4575.0,89.0
54,toy story 3,2010,2010-06-18,Adventure,196-201,1063-1073,410-415,200000000,415004880,1068879522,110307189.0,4028.0,102.0
55,doctor strange in the multiverse of madness,2022,2022-05-04,Action,196-201,943-953,410-415,200000000,411331607,952224986,187420998.0,4534.0,126.0
56,iron man 3,2013,2013-04-24,Action,196-201,1213-1223,405-410,200000000,408992272,1215392272,174144585.0,4253.0,130.0
57,guardians of the galaxy vol 2,2017,2017-04-28,Action,196-201,863-873,385-390,200000000,389813101,869113101,146510104.0,4347.0,136.0
58,spider-man 2,2004,2004-06-30,Adventure,196-201,793-803,370-375,200000000,373524485,794697557,88156227.0,4166.0,127.0
59,the batman,2022,2022-03-01,Action,196-201,763-773,365-370,200000000,369345583,767820302,134008624.0,4417.0,175.0
60,alice in wonderland,2010,2010-03-04,Adventure,196-201,1023-1033,330-335,200000000,334191110,1025491110,116101023.0,3739.0,108.0
61,skyfall,2012,2012-10-26,Action,196-201,1103-1113,300-305,200000000,304360277,1110526981,88364714.0,3526.0,143.0
62,the hobbit: an unexpected journey,2012,2012-12-11,Adventure,196-201,1013-1023,300-305,200000000,303003568,1014938545,84617303.0,4100.0,169.0
63,monsters university,2013,2013-06-21,Adventure,196-201,733-743,265-270,200000000,268488329,743455810,82429469.0,4004.0,102.0
64,oz the great and powerful,2013,2013-03-08,Adventure,196-201,483-493,230-235,200000000,234770996,490359051,79110453.0,3912.0,130.0
65,x-men: days of future past,2014,2014-05-21,Action,196-201,743-753,230-235,200000000,233921534,747862775,90823660.0,4001.0,131.0
66,the amazing spider-man 2,2014,2014-04-16,Action,196-201,703-713,200-205,200000000,202853933,708996336,91608337.0,4324.0,141.0
67,cars 2,2011,2011-06-23,Adventure,196-201,553-563,190-195,200000000,191450875,560155383,66135507.0,4115.0,107.0
68,black widow,2021,2021-07-07,Action,196-201,373-383,180-185,200000000,183651655,379751655,80366312.0,4275.0,133.0
69,fast & furious presents: hobbs & shaw,2019,2019-07-31,Action,196-201,753-763,170-175,200000000,173956935,760381706,60038950.0,4344.0,134.0
70,f9: the fast saga,2021,2021-05-20,Action,196-201,713-723,170-175,200000000,173005945,721077945,70043165.0,4203.0,145.0
71,tron: legacy,2010,2010-12-17,Adventure,196-201,393-403,170-175,200000000,172062763,399866199,44026211.0,3451.0,125.0
72,2012,2009,2009-11-12,Action,196-201,753-763,165-170,200000000,166112167,757677748,65237614.0,3444.0,158.0
73,eternals,2021,2021-11-03,Action,196-201,393-403,160-165,200000000,164870264,402064929,71297219.0,4090.0,156.0
74,fantastic beasts: the crimes of grindelwald,2018,2018-11-14,Adventure,196-201,643-653,155-160,200000000,159555901,648455339,62163104.0,4163.0,134.0
75,terminator salvation,2009,2009-05-21,Action,196-201,363-373,120-125,200000000,125322469,365491792,42558390.0,3602.0,116.0
76,lightyear,2022,2022-06-15,Adventure,196-201,213-223,115-120,200000000,118307188,218571346,50577961.0,4255.0,110.0
77,jungle cruise,2021,2021-07-28,Adventure,196-201,203-213,115-120,200000000,116987516,210384144,35018731.0,4310.0,90.0
